independent,dependent,test,statistic,pvalue,notes
Number of children,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Real Self Concept Total,,,,scipy not available
Number of children,Ideal Self Concept Total,,,,scipy not available
Number of children,Social Self Concept Total,,,,scipy not available
Number of children,Real Self Concept Total.1,,,,scipy not available
Number of children,Ideal Self Concept Total.1,,,,scipy not available
Number of children,Social Self Concept Total.1,,,,scipy not available
Number of children,Real Self Concept Total.2,,,,scipy not available
Number of children,Ideal Self Concept Total.2,,,,scipy not available
Number of children,Social Self Concept Total.2,,,,scipy not available
Number of children,Real Self Concept Total.3,,,,scipy not available
Number of children,Ideal Self Concept Total.3,,,,scipy not available
Number of children,Social Self Concept Total.3,,,,scipy not available
Number of children,Real Self Concept Total.4,,,,scipy not available
Number of children,Ideal Self Concept Total.4,,,,scipy not available
Number of children,Social Self Concept Total.4,,,,scipy not available
Number of children,Real Self Concept Total.5,,,,scipy not available
Number of children,Ideal Self Concept Total.5,,,,scipy not available
Number of children,Social Self Concept Total.5,,,,scipy not available
Number of children,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Unnamed: 80,,,,scipy not available
Number of children,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Emotional Support,,,,scipy not available
Type of family structure,Informational Support,,,,scipy not available
Type of family structure,Instrumental Support,,,,scipy not available
Type of family structure,Perceived Social Support TOTAL SCORE,,,,scipy not available
Type of family structure,Emotional Support - T Score,,,,scipy not available
Type of family structure,Informational Support - T Score,,,,scipy not available
Type of family structure,Instrumental Support - T Score,,,,scipy not available
Type of family structure,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Type of family structure,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Real Self Concept Total,,,,scipy not available
Type of family structure,Ideal Self Concept Total,,,,scipy not available
Type of family structure,Social Self Concept Total,,,,scipy not available
Type of family structure,Real Self Concept Total.1,,,,scipy not available
Type of family structure,Ideal Self Concept Total.1,,,,scipy not available
Type of family structure,Social Self Concept Total.1,,,,scipy not available
Type of family structure,Real Self Concept Total.2,,,,scipy not available
Type of family structure,Ideal Self Concept Total.2,,,,scipy not available
Type of family structure,Social Self Concept Total.2,,,,scipy not available
Type of family structure,Real Self Concept Total.3,,,,scipy not available
Type of family structure,Ideal Self Concept Total.3,,,,scipy not available
Type of family structure,Social Self Concept Total.3,,,,scipy not available
Type of family structure,Real Self Concept Total.4,,,,scipy not available
Type of family structure,Ideal Self Concept Total.4,,,,scipy not available
Type of family structure,Social Self Concept Total.4,,,,scipy not available
Type of family structure,Real Self Concept Total.5,,,,scipy not available
Type of family structure,Ideal Self Concept Total.5,,,,scipy not available
Type of family structure,Social Self Concept Total.5,,,,scipy not available
Type of family structure,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Type of family structure,Unnamed: 80,,,,scipy not available
Type of family structure,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Emotional Support,,,,scipy not available
Monthly household income,Informational Support,,,,scipy not available
Monthly household income,Instrumental Support,,,,scipy not available
Monthly household income,Perceived Social Support TOTAL SCORE,,,,scipy not available
Monthly household income,Emotional Support - T Score,,,,scipy not available
Monthly household income,Informational Support - T Score,,,,scipy not available
Monthly household income,Instrumental Support - T Score,,,,scipy not available
Monthly household income,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Monthly household income,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Real Self Concept Total,,,,scipy not available
Monthly household income,Ideal Self Concept Total,,,,scipy not available
Monthly household income,Social Self Concept Total,,,,scipy not available
Monthly household income,Real Self Concept Total.1,,,,scipy not available
Monthly household income,Ideal Self Concept Total.1,,,,scipy not available
Monthly household income,Social Self Concept Total.1,,,,scipy not available
Monthly household income,Real Self Concept Total.2,,,,scipy not available
Monthly household income,Ideal Self Concept Total.2,,,,scipy not available
Monthly household income,Social Self Concept Total.2,,,,scipy not available
Monthly household income,Real Self Concept Total.3,,,,scipy not available
Monthly household income,Ideal Self Concept Total.3,,,,scipy not available
Monthly household income,Social Self Concept Total.3,,,,scipy not available
Monthly household income,Real Self Concept Total.4,,,,scipy not available
Monthly household income,Ideal Self Concept Total.4,,,,scipy not available
Monthly household income,Social Self Concept Total.4,,,,scipy not available
Monthly household income,Real Self Concept Total.5,,,,scipy not available
Monthly household income,Ideal Self Concept Total.5,,,,scipy not available
Monthly household income,Social Self Concept Total.5,,,,scipy not available
Monthly household income,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Monthly household income,Unnamed: 80,,,,scipy not available
Monthly household income,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Emotional Support,,,,scipy not available
Access to healthcare services,Informational Support,,,,scipy not available
Access to healthcare services,Instrumental Support,,,,scipy not available
Access to healthcare services,Perceived Social Support TOTAL SCORE,,,,scipy not available
Access to healthcare services,Emotional Support - T Score,,,,scipy not available
Access to healthcare services,Informational Support - T Score,,,,scipy not available
Access to healthcare services,Instrumental Support - T Score,,,,scipy not available
Access to healthcare services,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Access to healthcare services,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Real Self Concept Total,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total,,,,scipy not available
Access to healthcare services,Social Self Concept Total,,,,scipy not available
Access to healthcare services,Real Self Concept Total.1,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total.1,,,,scipy not available
Access to healthcare services,Social Self Concept Total.1,,,,scipy not available
Access to healthcare services,Real Self Concept Total.2,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total.2,,,,scipy not available
Access to healthcare services,Social Self Concept Total.2,,,,scipy not available
Access to healthcare services,Real Self Concept Total.3,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total.3,,,,scipy not available
Access to healthcare services,Social Self Concept Total.3,,,,scipy not available
Access to healthcare services,Real Self Concept Total.4,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total.4,,,,scipy not available
Access to healthcare services,Social Self Concept Total.4,,,,scipy not available
Access to healthcare services,Real Self Concept Total.5,,,,scipy not available
Access to healthcare services,Ideal Self Concept Total.5,,,,scipy not available
Access to healthcare services,Social Self Concept Total.5,,,,scipy not available
Access to healthcare services,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Access to healthcare services,Unnamed: 80,,,,scipy not available
Access to healthcare services,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Emotional Support,,,,scipy not available
Overall health status,Informational Support,,,,scipy not available
Overall health status,Instrumental Support,,,,scipy not available
Overall health status,Perceived Social Support TOTAL SCORE,,,,scipy not available
Overall health status,Emotional Support - T Score,,,,scipy not available
Overall health status,Informational Support - T Score,,,,scipy not available
Overall health status,Instrumental Support - T Score,,,,scipy not available
Overall health status,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Overall health status,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Real Self Concept Total,,,,scipy not available
Overall health status,Ideal Self Concept Total,,,,scipy not available
Overall health status,Social Self Concept Total,,,,scipy not available
Overall health status,Real Self Concept Total.1,,,,scipy not available
Overall health status,Ideal Self Concept Total.1,,,,scipy not available
Overall health status,Social Self Concept Total.1,,,,scipy not available
Overall health status,Real Self Concept Total.2,,,,scipy not available
Overall health status,Ideal Self Concept Total.2,,,,scipy not available
Overall health status,Social Self Concept Total.2,,,,scipy not available
Overall health status,Real Self Concept Total.3,,,,scipy not available
Overall health status,Ideal Self Concept Total.3,,,,scipy not available
Overall health status,Social Self Concept Total.3,,,,scipy not available
Overall health status,Real Self Concept Total.4,,,,scipy not available
Overall health status,Ideal Self Concept Total.4,,,,scipy not available
Overall health status,Social Self Concept Total.4,,,,scipy not available
Overall health status,Real Self Concept Total.5,,,,scipy not available
Overall health status,Ideal Self Concept Total.5,,,,scipy not available
Overall health status,Social Self Concept Total.5,,,,scipy not available
Overall health status,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Overall health status,Unnamed: 80,,,,scipy not available
Overall health status,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Emotional Support,,,,scipy not available
Are you covered by health insurance?,Informational Support,,,,scipy not available
Are you covered by health insurance?,Instrumental Support,,,,scipy not available
Are you covered by health insurance?,Perceived Social Support TOTAL SCORE,,,,scipy not available
Are you covered by health insurance?,Emotional Support - T Score,,,,scipy not available
Are you covered by health insurance?,Informational Support - T Score,,,,scipy not available
Are you covered by health insurance?,Instrumental Support - T Score,,,,scipy not available
Are you covered by health insurance?,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Are you covered by health insurance?,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Real Self Concept Total,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total.1,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total.1,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total.1,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total.2,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total.2,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total.2,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total.3,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total.3,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total.3,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total.4,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total.4,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total.4,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total.5,,,,scipy not available
Are you covered by health insurance?,Ideal Self Concept Total.5,,,,scipy not available
Are you covered by health insurance?,Social Self Concept Total.5,,,,scipy not available
Are you covered by health insurance?,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Are you covered by health insurance?,Unnamed: 80,,,,scipy not available
Are you covered by health insurance?,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Emotional Support,,,,scipy not available
Participation in community or social activities,Informational Support,,,,scipy not available
Participation in community or social activities,Instrumental Support,,,,scipy not available
Participation in community or social activities,Perceived Social Support TOTAL SCORE,,,,scipy not available
Participation in community or social activities,Emotional Support - T Score,,,,scipy not available
Participation in community or social activities,Informational Support - T Score,,,,scipy not available
Participation in community or social activities,Instrumental Support - T Score,,,,scipy not available
Participation in community or social activities,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Participation in community or social activities,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Real Self Concept Total,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total,,,,scipy not available
Participation in community or social activities,Social Self Concept Total,,,,scipy not available
Participation in community or social activities,Real Self Concept Total.1,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total.1,,,,scipy not available
Participation in community or social activities,Social Self Concept Total.1,,,,scipy not available
Participation in community or social activities,Real Self Concept Total.2,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total.2,,,,scipy not available
Participation in community or social activities,Social Self Concept Total.2,,,,scipy not available
Participation in community or social activities,Real Self Concept Total.3,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total.3,,,,scipy not available
Participation in community or social activities,Social Self Concept Total.3,,,,scipy not available
Participation in community or social activities,Real Self Concept Total.4,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total.4,,,,scipy not available
Participation in community or social activities,Social Self Concept Total.4,,,,scipy not available
Participation in community or social activities,Real Self Concept Total.5,,,,scipy not available
Participation in community or social activities,Ideal Self Concept Total.5,,,,scipy not available
Participation in community or social activities,Social Self Concept Total.5,,,,scipy not available
Participation in community or social activities,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Participation in community or social activities,Unnamed: 80,,,,scipy not available
Participation in community or social activities,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Functional Impairment,Emotional Support,,-0.15104831175302208,,scipy not available; using pandas corr
